ID,Name,2.5m/s,3m/s,4m/s,5m/s,6m/s,7m/s,8m/s,9m/s,10m/s,11m/s,12m/s,13m/s,14m/s,15m/s,16m/s,17m/s,18m/s,19m/s,20m/s,21m/s,22m/s,23m/s,24m/s,25m/s
30,EN2100,,0.286490675,0.408249213,0.451050919,0.470322192,0.478096976,0.478081315,0.415234633,0.337256823,0.265009256,0.207407312,0.163992114,0.131489197,0.106956519,0.088129456,0.0734741,0.061896134,0.052628408,0.045122281,,,,,
31,GW121,,0.338978963,0.444420977,0.456213533,0.458273482,0.457313713,0.45212134,0.440769227,0.352016615,0.264475293,0.203713319,0.160226042,0.128285938,0.104301219,0.085941556,0.071650034,0.060359502,0.051321857,0.044002077,,,,,
32,GW93,,0.2604471,0.420560323,0.444232943,0.451291958,0.455985347,0.457027828,0.447050961,0.363727847,0.273274115,0.210490652,0.165556598,0.13255388,0.107771214,0.088800744,0.074033757,0.062367601,0.053029282,,,,,,
33,GW115,0.367006088,0.423881957,0.44886361,0.459347183,0.464553,0.466134186,0.463491564,0.429268374,0.312936644,0.235113933,0.181097595,0.142438163,0.114043967,0.092721969,0.076400548,0.063695633,0.053658547,0.045624237,,,,,,
34,WD115,0.211232741,0.232840323,0.41010821,0.456413601,0.463497768,0.467377733,0.468431982,0.431185783,0.314334436,0.236164114,0.181906502,0.143074391,0.114553366,0.093136129,0.076741806,0.063980142,0.053898223,0.045828027,0.039291805,,,,,
35,GW131/2200,0.162884757,0.17954669,0.316240634,0.351947421,0.357410129,0.360402029,0.361214976,0.33249387,0.242388031,0.182109715,0.140270851,0.110326823,0.088333831,0.071818676,0.059176765,0.049336054,0.041561734,0.035338684,0.030298504,,,,,
36,GW130/2500,,0.314347593,0.436285416,0.450692445,0.453298341,0.449346914,0.427876831,0.356024381,0.270612276,0.203315008,0.156604326,0.123173544,0.098619634,0.080181415,0.06606745,0.055080862,0.046338007,0.038431398,0.031074285,0.024771127,0.019661485,0.016064426,,
37,En-2.2/131,0.294594751,0.314047767,0.4050375,0.425418078,0.424525285,0.420609498,0.411898532,0.376857321,0.301135918,0.227521995,0.17524987,0.137838769,0.110361434,0.089727934,0.073933539,0.061638871,0.051925887,0.04415101,0.037853972,,,,,
38,MY2.0-121,,0.31025696,0.50581087,0.531580602,0.538348411,0.539366018,0.532432494,0.427504097,0.312360397,0.234680989,0.180764118,0.142175875,0.113833964,0.092551229,0.076259862,0.063578343,0.053559739,0.045540224,0.03904505,,,,,
39,MY3.0-121,0.431358841,0.440834119,0.441415038,0.493309313,0.479340714,0.459059619,0.465502406,0.43021161,0.391635969,0.318160502,0.248965052,0.195817756,0.156782657,0.127470107,0.105032131,0.08756597,0.073767423,0.062722206,0.053776451,,,,,
40,Vestas100,,0.107842146,0.347718705,0.415962563,0.412111058,0.42990883,0.435054595,0.433080364,0.393708566,0.310643717,0.240598716,0.189332073,0.151589855,0.123248167,0.10155336,0.084665696,0.071324171,0.060644783,0.05199532,0.044915513,0.039064854,,,
41,XE122-2200,,0.394049019,0.395324413,0.401994351,0.413830105,0.410724356,0.391639932,0.345613613,0.291527488,0.230118539,0.17724987,0.139411823,0.111620909,0.090751933,0.074777289,0.062342311,0.05251848,0.044654873,0.038285972,,,,,
42,MY2.5-135,,,,,,,,,,,,,,,,,,,,,,,,
43,MY3.0-135,,,,,,,,,,,,,,,,,,,,,,,,
44,MY3.0-145,,,,,,,,,,,,,,,,,,,,,,,,
45,MY3.2-145,0.082300354,0.267446842,0.386401152,0.439990355,0.465742189,0.465465813,0.453634953,0.404359,0.312187401,0.236706269,0.183125524,0.144078208,0.115357079,0.093789577,0.07728023,0.06442903,0.054276376,0.046149559,0.039567478,,,,,
46,WD131,0.09583695,0.217223026,0.423108281,0.466206832,0.471420184,0.474411532,0.471122297,0.376588382,0.274532931,0.206260654,0.158873224,0.124958093,0.100048444,0.081343091,0.067024641,0.055878879,0.047073548,0.040025212,0.034316616,,,,,
47,En3.0-141,,,,,,,,,,,,,,,,,,,,,,,,
48,GW3.0-140,0.109756548,0.308334121,0.438143954,0.454288406,0.459063829,0.459700796,0.450755127,0.409102614,0.329477179,0.250146776,0.192676713,0.151545453,0.121335772,0.098650477,0.081285488,0.067768239,0.057089396,0.048541385,0.04161817,0.03595134,0.031268347,,,
